Condition,PAMR1,CTSC,PHYHIP,CD24,WNT5A,RAB3B,WIF1,TNNC1,PARK7,MMP14,ARHGEF4,CFL1,SNRPD2,PTMA,DEFA1,ITGA2,EFNB3,FABP7,ZBTB48,TRO,MAP3K8,STAT5B,RAD51,FOXN3,CCNE2,SLC38A2,CTDP1,LSM6,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,ASNS,CENPE,AKAP10,GABRP,CFTR,GNE,ORM2,ORM1,IKZF1,ARL4A,IFT27,TGFA,VIPR1,CLOCK,ITGB4
AK,3.36844,11.03882,6.20261,10.95951,10.32273,4.58584,3.4549,5.4041,11.48965,7.90538,7.45848,11.4422,12.20916,12.64156,4.92334,8.30299,4.72589,3.03477,6.67901,4.19418,7.01866,6.00354,4.14878,7.56903,6.29029,11.66704,7.37872,8.38293,4.828,8.02271,6.98714,9.14211,5.5365,5.68375,10.09909,7.7835,7.25946,6.47659,3.30416,3.91182,4.41828,2.51447,4.78298,4.86891,10.57451,7.73557,6.30747,7.03828,8.27777,9.84042
AK,3.09156,11.53054,7.02185,12.00373,9.68522,4.55289,3.81213,5.38796,11.16006,7.73555,8.08567,11.53014,11.85528,12.54014,4.64134,7.94689,5.59812,3.16259,6.27214,4.28496,7.26287,6.47322,5.09307,6.8557,6.54434,11.55953,7.35391,7.97803,6.39792,7.11504,7.45817,8.10849,6.04757,5.78454,8.38088,7.70908,7.7814,6.51984,3.6174,4.29546,5.01507,2.96157,4.90941,5.04388,10.50142,7.32439,6.87945,6.78027,8.34308,9.87194
AK,4.96094,11.09334,5.8868,12.46141,8.61659,4.48238,3.51629,5.2988,10.80765,7.8714,8.2383,11.4332,11.67499,12.14405,4.76697,7.24119,4.97673,3.28164,5.74389,4.67705,6.10646,5.7853,4.5122,6.7478,3.54124,11.41208,7.72558,8.45586,4.44576,5.53275,7.01811,7.08817,6.18296,5.42466,7.14208,7.73165,5.46337,7.18444,2.78411,7.66458,3.88371,2.30444,4.53412,4.34914,9.88165,7.16152,7.76205,7.52121,8.28328,10.72854
AK,4.02097,10.41561,7.0387,10.76514,6.40898,4.5223,3.51307,4.68288,11.71418,6.83913,6.88655,11.15119,12.10581,12.16847,4.4953,6.87137,5.99642,11.06843,6.21319,4.3491,6.45531,5.50231,4.39726,6.12372,4.002,10.24142,6.57198,8.10193,5.07458,7.03657,8.64138,5.83631,6.00567,5.23447,10.63484,7.64283,6.00747,6.3863,3.07698,5.45941,4.72969,2.33348,4.69566,4.45339,10.65192,8.0948,6.62694,6.66588,7.98454,8.31883
AK,2.89288,11.097,5.5858,11.25129,9.77822,4.56242,3.75623,4.82978,11.38581,7.26214,7.23493,11.62969,11.28893,12.61905,5.17149,8.32393,5.52145,3.12463,5.30713,4.00219,6.79999,5.63768,5.05591,6.86625,5.42936,11.56512,6.53848,8.51595,5.44812,7.85137,7.76884,7.22201,5.41248,5.61962,6.36082,8.26397,6.61391,6.58701,2.72919,4.31909,4.99708,2.63381,4.95856,4.66437,10.3632,6.79005,6.89986,7.29177,8.53666,9.77691
AK,4.48074,11.13991,6.03823,12.35975,8.67051,4.47778,4.39821,4.5273,10.96827,6.9269,7.71653,11.87797,11.30908,12.68364,4.1765,7.42727,4.67953,4.52628,6.00364,4.36886,8.05748,5.81036,5.02908,6.10476,6.26665,11.22734,6.21294,8.69318,6.09879,7.88215,7.34132,9.12591,5.40994,5.3438,6.45246,8.29624,7.82057,6.59735,2.61803,3.90607,5.9025,2.33049,4.58781,5.61536,10.5988,7.22556,6.14245,7.50678,8.34309,8.07179
AK,3.20576,11.28734,5.61339,11.62308,9.53018,4.82537,3.57915,4.7765,11.66921,7.36115,7.38598,11.52017,11.7905,12.59294,4.535,8.47833,6.2826,3.78777,5.23712,4.37467,7.33643,5.44649,4.68661,5.88118,5.1109,11.32892,6.88688,8.96733,5.43355,7.63142,7.69473,7.1424,5.89688,5.80971,7.79972,8.83567,7.65424,6.22688,3.24323,3.958,4.94231,2.54743,4.95861,4.97172,10.54005,7.79875,6.61939,6.57907,8.64491,9.23371
AK,3.40781,11.77011,6.67538,12.51089,10.5158,4.35017,4.03986,4.84169,11.76805,6.86205,7.11756,11.53567,11.97421,12.96394,4.5557,7.01073,5.98638,2.85189,5.54185,4.05616,7.8389,5.60332,5.92044,5.40613,6.66359,11.3487,6.19404,8.54844,5.23308,8.13539,7.54957,9.40105,5.29156,4.8698,9.23891,8.6911,7.51208,6.35395,3.15877,3.4786,5.01913,2.58929,4.53632,4.6329,10.09257,7.61152,6.63471,6.01093,8.56265,8.38942
AK,3.18965,10.56561,6.80797,11.92477,7.95633,4.3956,3.29623,4.79973,11.68826,7.06097,7.90533,11.0679,11.94782,12.75752,4.35738,8.13541,6.38912,3.85085,6.19983,4.05194,7.96721,6.39438,4.9019,6.20021,7.86932,11.48323,6.74102,9.15829,5.42181,8.76493,8.26408,7.15895,5.37162,5.12024,8.00415,9.22455,8.96229,6.48682,3.33054,4.15313,4.82997,2.64977,4.39744,4.32867,10.27266,7.3363,6.10771,6.11979,8.84231,8.4778
AK,4.17099,11.34863,5.26973,12.33256,10.81227,4.45074,3.44769,4.76599,10.57307,7.07926,8.14581,11.0291,10.93914,12.23047,4.51792,8.07766,6.08423,3.21883,5.94105,3.89538,8.8237,5.03155,4.38855,6.3623,6.35841,11.7555,6.72255,8.15392,5.72374,7.78714,6.9046,8.83529,5.76178,5.56007,6.85817,8.48907,7.45102,6.34613,3.03461,4.7387,4.86349,2.35167,4.78415,4.55993,10.10647,6.41394,6.90834,8.09596,7.9208,8.93654
AK,4.48716,10.52337,5.91878,11.76637,8.68516,5.89682,7.13903,6.65837,10.84715,7.3696,7.5187,11.42868,12.05377,12.19558,4.20258,7.34246,5.96501,4.4891,6.11202,3.74435,7.70756,5.97351,4.63949,6.77618,5.85961,10.98522,7.15999,8.582,4.50204,7.35056,6.88068,8.42578,5.80885,5.43221,8.93808,8.53887,6.13138,6.26187,4.22084,6.65911,4.27123,2.3374,4.32884,4.76741,9.86127,7.18303,7.68832,6.35155,8.28988,9.57185
AK,5.52567,9.24621,5.17207,11.59149,7.67028,5.08945,6.18595,5.6249,11.14844,7.62563,7.57966,11.35689,12.1403,11.9683,4.87799,8.85153,5.59699,6.27218,5.71142,3.77524,6.71588,5.73083,3.78981,6.71155,5.48283,11.38233,6.79968,8.33392,3.60258,6.68022,7.05215,8.17566,5.57747,5.3252,8.82331,8.60345,6.11304,6.44838,6.71454,7.24529,4.59641,2.00137,4.25557,4.91288,9.17583,8.08709,7.89934,6.89579,8.27424,9.44168
AK,5.72575,10.688,5.98561,10.39724,8.20725,5.02148,6.09527,6.56273,11.40777,8.08761,6.85312,11.1448,11.70464,12.38696,4.34877,7.535,5.66421,5.23903,5.75633,3.83623,7.63851,5.71438,3.99121,6.23437,4.85602,10.95454,7.46281,8.84688,4.13887,6.55419,7.48717,8.85144,5.40686,5.13985,6.85743,7.87351,5.9889,6.20381,7.85386,8.70161,6.18987,3.07227,4.84447,4.98367,9.87791,7.52214,7.02711,7.76029,7.91601,9.42668
AK,4.47906,10.22543,5.4074,10.31718,8.95339,5.58155,5.53997,6.00744,11.09624,7.66954,7.2373,11.06055,11.77424,12.14641,4.87381,8.26967,5.7252,6.19726,6.49691,3.8611,7.0536,5.97245,4.37066,7.00167,5.11339,10.95981,7.61231,8.75511,3.84931,6.51597,7.79161,8.36063,5.75814,5.52621,7.53585,8.39235,6.43528,6.69542,4.18065,7.22768,4.89229,2.19333,4.38888,4.78967,10.19167,7.59867,7.84334,6.72832,7.80864,8.8994
AK,4.43397,10.54652,6.72351,10.54435,8.67642,6.32531,4.7157,6.26178,11.15754,7.7274,6.91077,10.905,11.93668,12.21524,4.30229,8.77668,5.50634,5.25809,5.86737,3.61825,7.80604,5.7682,4.17707,7.35539,4.97672,11.26461,7.32728,8.71817,4.72416,7.36102,7.15174,8.70972,5.35377,5.13068,9.75445,7.51511,6.34789,6.55172,4.62875,6.41926,4.68743,2.10703,4.25732,4.72866,10.54061,7.6579,6.67359,6.46321,8.15344,8.93713
