Condition,GTSE1,CHTOP,EDNRB,DNAJC8,S100A11,HNRNPM,TUG1,TFG,GAPDH,RPS3A,EMP2,ITGA2,IKZF1,IFT27,LSM6,CTDP1,CCNE2,DEFA1,FABP7,EFNB3,ORM2,TRO,OAS2,MAP3K8,STAT5B,ZBTB48,ORM1,GNE,FOXN3,CFTR,IDUA,GPR162,ITGAE,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,CSTA,ASNS,CENPE,AKAP10,GABRP,RAD51,ARL4A,AMMECR1,VIPR1,GNAZ
SCC,5.80391,11.99422,8.16153,8.84759,11.79565,9.78081,10.19121,10.64686,11.85681,13.35364,9.98344,8.2824,4.59995,8.08014,9.30935,6.4502,5.63466,4.41303,3.51898,3.1273,2.62663,3.97484,8.95893,7.95589,6.1586,5.73257,4.6648,6.09228,5.42078,3.71184,5.57786,5.404,9.02271,4.1809,8.13559,6.90373,8.28507,5.79785,5.71964,7.4526,13.86139,8.27081,8.00995,6.09302,3.32375,4.85497,10.01501,10.33652,7.83846,5.40506
SCC,5.94387,11.58339,5.34256,8.69134,11.59433,9.40777,9.87446,9.2755,12.13551,13.2694,9.16447,8.94289,3.86178,6.9654,9.119,6.43909,5.31025,4.69656,2.88399,5.20927,2.90964,4.35803,7.60375,5.92971,5.47605,5.31959,4.91444,4.94625,5.67816,3.85718,5.44445,5.5887,8.81151,4.75505,7.91938,7.2038,4.5921,5.55495,5.25278,7.414,12.94611,8.88016,7.70309,6.7319,2.89066,5.2013,10.2796,9.53565,7.75242,5.13577
SCC,5.91995,11.49466,8.30656,9.0156,11.60227,9.49692,10.06623,9.66845,12.13144,13.35382,10.73188,7.63541,4.68869,6.43495,8.0842,6.56722,5.04705,4.70639,2.53786,4.43955,2.15723,4.45928,7.80577,8.29651,5.85857,5.87631,4.65867,6.7334,6.1197,4.3464,5.49966,5.90738,8.88526,5.3965,7.06266,7.65158,8.10209,5.67554,5.22938,9.0732,13.54628,8.18209,6.51083,6.38402,2.8417,4.42561,10.52891,9.95701,8.3407,5.31256
SCC,6.31216,11.58584,8.01183,9.10753,11.66169,9.88867,9.31475,9.27199,12.58533,13.47854,10.04919,8.35498,4.31181,7.92329,9.40057,6.6241,6.73105,4.61675,3.40506,4.65109,2.59512,4.46357,9.361,7.53349,5.83,5.86054,4.70887,5.73729,5.7506,3.14535,5.68999,5.60709,8.9945,4.83649,8.71533,7.55259,6.90903,5.77218,5.09229,7.35327,13.41749,8.73764,8.826,6.2314,3.07743,5.11589,10.06044,10.1299,5.7744,5.33888
SCC,5.29369,11.23042,6.69277,8.63102,11.90446,9.31478,9.20535,9.10719,12.01442,13.08531,9.60065,8.04253,5.20237,7.02902,8.45296,6.58889,5.18876,5.03424,3.07421,4.30044,3.74926,5.39797,9.69775,7.66872,5.59024,5.45046,4.87176,5.86,6.1887,3.4988,5.83164,5.1282,8.51507,5.01095,8.04064,6.8919,5.55302,5.75148,5.37547,9.19324,13.57182,8.31371,7.61266,6.33558,3.0218,5.74864,9.84029,10.27474,5.97491,5.42315
SCC,5.93709,11.98552,5.41217,8.9497,11.28972,9.30401,9.78028,8.96962,11.53187,12.88662,9.98886,8.61863,4.12363,7.73504,8.64434,6.28344,5.13617,4.75994,2.71449,3.58452,2.42083,4.36507,8.98012,5.92189,5.5395,5.60782,4.81467,5.14143,6.33357,4.2933,5.58995,5.44674,8.3849,4.67858,7.38275,7.17594,6.32318,5.33674,5.30118,6.94579,10.41026,7.82092,5.76972,6.78942,3.29083,6.01439,9.68514,8.89585,6.08331,5.59267
SCC,6.45612,11.73829,8.62403,8.95651,11.52218,9.55709,9.79691,9.30684,12.43832,13.34925,10.60779,8.63069,5.34709,7.68966,9.18657,7.67256,6.00749,4.81327,3.61689,5.81772,2.69767,4.10388,8.13233,6.26757,6.55782,5.80024,4.40285,4.73839,5.76899,5.85333,5.37143,5.90097,8.40211,4.51899,8.0883,7.535,7.91088,5.94451,5.67473,7.6318,13.19697,7.68844,8.21382,7.21763,7.12157,6.0029,9.99204,9.5822,7.71896,5.16116
SCC,6.19267,11.58182,6.08993,8.44636,11.86214,9.41624,9.85234,9.49159,12.36451,13.38671,10.12428,7.20822,4.29976,7.02693,8.93726,6.76359,4.55443,5.0866,2.95685,4.81576,2.32422,4.47134,7.19508,7.9778,6.36878,6.59793,4.67297,4.19662,5.45563,4.16359,5.81446,5.95856,8.06903,4.21744,7.46018,5.67773,6.21967,6.12287,5.55095,9.14614,13.68715,8.87473,7.08833,6.97338,3.17212,4.34581,10.32726,10.17129,6.8399,5.93914
SCC,6.21054,11.79549,5.06455,8.94298,12.20544,9.39192,10.00848,10.08075,12.54471,13.32315,9.77189,7.91176,4.49896,7.38307,8.78848,7.01182,5.30169,4.55979,3.08044,3.2903,2.68741,4.65092,9.80043,5.22861,6.38204,6.61333,5.42295,4.89954,6.28414,3.49557,6.01901,5.73843,8.03397,4.22819,7.09637,7.32613,5.15651,5.73655,5.44617,7.38477,13.49022,8.16451,7.63813,6.45523,2.81177,4.97695,9.80932,10.44577,6.89472,5.75523
SCC,6.43495,11.64931,7.55816,9.01967,11.85935,9.88923,9.70074,9.7963,12.40554,13.31658,9.88641,8.11327,5.15551,7.11674,9.20581,7.00497,5.94829,4.85575,3.5229,3.6364,2.62937,4.53059,9.84734,6.7571,5.81613,5.95154,4.90467,5.58916,5.86799,3.3839,5.81221,5.62529,8.65749,4.60295,7.91017,7.51188,5.59802,5.7475,5.60866,8.93479,13.02087,7.80562,8.07417,6.85443,2.99437,5.81613,9.71516,9.85274,6.18825,5.87277
