Condition,HNRNPM,RPS13,IKZF1,LSM6,CTDP1,CCNE2,DEFA1,ITGA2,EFNB3,FABP7,TRO,MAP3K8,STAT5B,ZBTB48,RAD51,FOXN3,ARL4A,VIPR1,TGFA,IFT27,SLC38A2,FGFBP1,ORM2,GPR162,ITGAE,NEB,PRIM1,AUH,KIT,MAPK8IP2,CD79A,PSPH,ASNS,CENPE,AKAP10,GABRP,CFTR,GNE,ORM1,ADORA2A,SLC26A1,AMMECR1,GPC4,GIT2,SLC22A18,CLOCK,SH3BGR,CLASRP,DDX10,EMP2
SCC,9.78081,12.66804,4.59995,9.30935,6.4502,5.63466,4.41303,8.2824,3.1273,3.51898,3.97484,7.95589,6.1586,5.73257,4.85497,5.42078,10.01501,7.83846,8.2752,8.08014,11.18436,11.37224,2.62663,5.404,9.02271,4.1809,8.13559,6.90373,8.28507,5.79785,5.71964,7.4526,8.27081,8.00995,6.09302,3.32375,3.71184,6.09228,4.6648,5.79034,5.13514,10.33652,5.43879,7.20054,6.14958,8.20304,7.15663,9.04256,8.0399,9.98344
SCC,9.40777,12.56232,3.86178,9.119,6.43909,5.31025,4.69656,8.94289,5.20927,2.88399,4.35803,5.92971,5.47605,5.31959,5.2013,5.67816,10.2796,7.75242,7.51784,6.9654,11.9111,10.82734,2.90964,5.5887,8.81151,4.75505,7.91938,7.2038,4.5921,5.55495,5.25278,7.414,8.88016,7.70309,6.7319,2.89066,3.85718,4.94625,4.91444,5.23967,5.77104,9.53565,4.92693,6.61385,5.73749,8.2035,4.25602,10.44701,8.2652,9.16447
SCC,9.49692,12.66883,4.68869,8.0842,6.56722,5.04705,4.70639,7.63541,4.43955,2.53786,4.45928,8.29651,5.85857,5.87631,4.42561,6.1197,10.52891,8.3407,7.89198,6.43495,11.1138,11.20249,2.15723,5.90738,8.88526,5.3965,7.06266,7.65158,8.10209,5.67554,5.22938,9.0732,8.18209,6.51083,6.38402,2.8417,4.3464,6.7334,4.65867,5.53079,5.36761,9.95701,5.24211,6.36241,5.89103,8.55471,5.49098,9.58987,7.69691,10.73188
SCC,9.88867,12.51673,4.31181,9.40057,6.6241,6.73105,4.61675,8.35498,4.65109,3.40506,4.46357,7.53349,5.83,5.86054,5.11589,5.7506,10.06044,5.7744,7.22322,7.92329,11.87918,12.2488,2.59512,5.60709,8.9945,4.83649,8.71533,7.55259,6.90903,5.77218,5.09229,7.35327,8.73764,8.826,6.2314,3.07743,3.14535,5.73729,4.70887,5.31982,5.59385,10.1299,4.64186,5.50173,5.49589,8.67607,6.03292,9.32456,8.71963,10.04919
SCC,9.31478,12.55747,5.20237,8.45296,6.58889,5.18876,5.03424,8.04253,4.30044,3.07421,5.39797,7.66872,5.59024,5.45046,5.74864,6.1887,9.84029,5.97491,7.75515,7.02902,11.74726,11.28985,3.74926,5.1282,8.51507,5.01095,8.04064,6.8919,5.55302,5.75148,5.37547,9.19324,8.31371,7.61266,6.33558,3.0218,3.4988,5.86,4.87176,5.49399,5.74873,10.27474,4.843,5.54009,5.31399,8.66342,5.94525,9.44262,7.45796,9.60065
SCC,9.30401,11.60982,4.12363,8.64434,6.28344,5.13617,4.75994,8.61863,3.58452,2.71449,4.36507,5.92189,5.5395,5.60782,6.01439,6.33357,9.68514,6.08331,7.246,7.73504,11.81061,9.75458,2.42083,5.44674,8.3849,4.67858,7.38275,7.17594,6.32318,5.33674,5.30118,6.94579,7.82092,5.76972,6.78942,3.29083,4.2933,5.14143,4.81467,5.28677,5.64409,8.89585,7.8595,6.08572,4.86156,7.60078,7.3566,9.52515,8.0575,9.98886
SCC,9.55709,12.48657,5.34709,9.18657,7.67256,6.00749,4.81327,8.63069,5.81772,3.61689,4.10388,6.26757,6.55782,5.80024,6.0029,5.76899,9.99204,7.71896,7.37514,7.68966,11.9204,11.06227,2.69767,5.90097,8.40211,4.51899,8.0883,7.535,7.91088,5.94451,5.67473,7.6318,7.68844,8.21382,7.21763,7.12157,5.85333,4.73839,4.40285,6.37265,5.19882,9.5822,4.60756,5.83892,6.07503,8.37196,6.18808,9.4553,7.68346,10.60779
SCC,9.41624,12.70778,4.29976,8.93726,6.76359,4.55443,5.0866,7.20822,4.81576,2.95685,4.47134,7.9778,6.36878,6.59793,4.34581,5.45563,10.32726,6.8399,8.62202,7.02693,11.29721,10.74465,2.32422,5.95856,8.06903,4.21744,7.46018,5.67773,6.21967,6.12287,5.55095,9.14614,8.87473,7.08833,6.97338,3.17212,4.16359,4.19662,4.67297,5.42951,5.73991,10.17129,4.56051,5.7818,5.6925,8.44462,6.74989,9.21343,7.93574,10.12428
SCC,9.39192,12.61621,4.49896,8.78848,7.01182,5.30169,4.55979,7.91176,3.2903,3.08044,4.65092,5.22861,6.38204,6.61333,4.97695,6.28414,9.80932,6.89472,9.04949,7.38307,11.75922,11.42038,2.68741,5.73843,8.03397,4.22819,7.09637,7.32613,5.15651,5.73655,5.44617,7.38477,8.16451,7.63813,6.45523,2.81177,3.49557,4.89954,5.42295,5.89238,5.78581,10.44577,4.65891,6.43423,6.21805,8.70642,4.5017,9.86611,7.65746,9.77189
SCC,9.88923,12.55731,5.15551,9.20581,7.00497,5.94829,4.85575,8.11327,3.6364,3.5229,4.53059,6.7571,5.81613,5.95154,5.81613,5.86799,9.71516,6.18825,7.79973,7.11674,11.36793,11.17802,2.62937,5.62529,8.65749,4.60295,7.91017,7.51188,5.59802,5.7475,5.60866,8.93479,7.80562,8.07417,6.85443,2.99437,3.3839,5.58916,4.90467,5.29669,5.5162,9.85274,4.54309,6.37771,5.69983,7.94814,4.65593,9.51927,6.81958,9.88641
